yyyymm,MD,D12,E12,B/M,TBL,AAA,BAA,LTY,NTIS,RFREE,INFL,LTR,CORPR,SVAR
187101,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004955125,NaN,NaN,NaN,NaN
187102,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004514458,NaN,NaN,NaN,NaN
187103,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN
187104,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004631988,NaN,NaN,NaN,NaN
187105,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN
187106,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003367814,NaN,NaN,NaN,NaN
187107,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003250135,NaN,NaN,NaN,NaN
187108,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003706064,NaN,NaN,NaN,NaN
187109,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004543842,NaN,NaN,NaN,NaN
187110,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.007016334,NaN,NaN,NaN,NaN
187111,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.006466605,NaN,NaN,NaN,NaN
187112,0.0217,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.006950382,NaN,NaN,NaN,NaN
187201,0.025,0.2633,0.4025,NaN,NaN,NaN,NaN,NaN,NaN,0.005747836,NaN,NaN,NaN,NaN
187202,0.0251,0.2667,0.405,NaN,NaN,NaN,NaN,NaN,NaN,0.00520475,NaN,NaN,NaN,NaN
187203,0.025,0.27,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,0.005982593,NaN,NaN,NaN,NaN
187204,0.025,0.2733,0.41,NaN,NaN,NaN,NaN,NaN,NaN,0.006011933,NaN,NaN,NaN,NaN
187205,0.0251,0.2767,0.4125,NaN,NaN,NaN,NaN,NaN,NaN,0.004940439,NaN,NaN,NaN,NaN
187206,0.025,0.28,0.415,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN
187207,0.025,0.2833,0.4175,NaN,NaN,NaN,NaN,NaN,NaN,0.004389567,NaN,NaN,NaN,NaN
187208,0.0251,0.2867,0.42,NaN,NaN,NaN,NaN,NaN,NaN,0.00520475,NaN,NaN,NaN,NaN
187209,0.025,0.29,0.4225,NaN,NaN,NaN,NaN,NaN,NaN,0.006994351,NaN,NaN,NaN,NaN
187210,0.025,0.2933,0.425,NaN,NaN,NaN,NaN,NaN,NaN,0.007580409,NaN,NaN,NaN,NaN
187211,0.0251,0.2967,0.4275,NaN,NaN,NaN,NaN,NaN,NaN,0.008180762,NaN,NaN,NaN,NaN
187212,0.025,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,0.007602379,NaN,NaN,NaN,NaN
187301,0.0275,0.3025,0.4325,NaN,NaN,NaN,NaN,NaN,NaN,0.006466605,NaN,NaN,NaN,NaN
187302,0.0276,0.305,0.435,NaN,NaN,NaN,NaN,NaN,NaN,0.006539919,NaN,NaN,NaN,NaN
187303,0.0275,0.3075,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,0.007082281,NaN,NaN,NaN,NaN
187304,0.0275,0.31,0.44,NaN,NaN,NaN,NaN,NaN,NaN,0.008019727,NaN,NaN,NaN,NaN
187305,0.0276,0.3125,0.4425,NaN,NaN,NaN,NaN,NaN,NaN,0.005615761,NaN,NaN,NaN,NaN
187306,0.0275,0.315,0.445,NaN,NaN,NaN,NaN,NaN,NaN,0.004668713,NaN,NaN,NaN,NaN
187307,0.0275,0.3175,0.4475,NaN,NaN,NaN,NaN,NaN,NaN,0.00438222,NaN,NaN,NaN,NaN
187308,0.0276,0.32,0.45,NaN,NaN,NaN,NaN,NaN,NaN,0.004837632,NaN,NaN,NaN,NaN
187309,0.0275,0.3225,0.4525,NaN,NaN,NaN,NaN,NaN,NaN,0.010125772,NaN,NaN,NaN,NaN
187310,0.0275,0.325,0.455,NaN,NaN,NaN,NaN,NaN,NaN,0.011746159,NaN,NaN,NaN,NaN
187311,0.0276,0.3275,0.4575,NaN,NaN,NaN,NaN,NaN,NaN,0.010286468,NaN,NaN,NaN,NaN
187312,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.006847782,NaN,NaN,NaN,NaN
187401,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.005116654,NaN,NaN,NaN,NaN
187402,0.0276,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN
187403,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004161784,NaN,NaN,NaN,NaN
187404,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN
187405,0.0276,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003808987,NaN,NaN,NaN,NaN
187406,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003735471,NaN,NaN,NaN,NaN
187407,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.00377223,NaN,NaN,NaN,NaN
187408,0.0276,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003647246,NaN,NaN,NaN,NaN
187409,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN
187410,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003919249,NaN,NaN,NaN,NaN
187411,0.0276,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003779581,NaN,NaN,NaN,NaN
187412,0.0275,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN
187501,0.025,0.3275,0.4517,NaN,NaN,NaN,NaN,NaN,NaN,0.00350754,NaN,NaN,NaN,NaN
187502,0.0251,0.325,0.4433,NaN,NaN,NaN,NaN,NaN,NaN,0.003463418,NaN,NaN,NaN,NaN
187503,0.025,0.3225,0.435,NaN,NaN,NaN,NaN,NaN,NaN,0.003985401,NaN,NaN,NaN,NaN
187504,0.025,0.32,0.4267,NaN,NaN,NaN,NaN,NaN,NaN,0.003647246,NaN,NaN,NaN,NaN
187505,0.0251,0.3175,0.4183,NaN,NaN,NaN,NaN,NaN,NaN,0.003000022,NaN,NaN,NaN,NaN
187506,0.025,0.315,0.41,NaN,NaN,NaN,NaN,NaN,NaN,0.002992665,NaN,NaN,NaN,NaN
187507,0.025,0.3125,0.4017,NaN,NaN,NaN,NaN,NaN,NaN,0.002816075,NaN,NaN,NaN,NaN
187508,0.0251,0.31,0.3933,NaN,NaN,NaN,NaN,NaN,NaN,0.003279556,NaN,NaN,NaN,NaN
187509,0.025,0.3075,0.385,NaN,NaN,NaN,NaN,NaN,NaN,0.003978051,NaN,NaN,NaN,NaN
187510,0.025,0.305,0.3767,NaN,NaN,NaN,NaN,NaN,NaN,0.004286704,NaN,NaN,NaN,NaN
187511,0.0251,0.3025,0.3683,NaN,NaN,NaN,NaN,NaN,NaN,0.004345484,NaN,NaN,NaN,NaN
187512,0.025,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,0.004507112,NaN,NaN,NaN,NaN
187601,0.025,0.3,0.3533,NaN,NaN,NaN,NaN,NaN,NaN,0.00438222,NaN,NaN,NaN,NaN
187602,0.0251,0.3,0.3467,NaN,NaN,NaN,NaN,NaN,NaN,0.003566366,NaN,NaN,NaN,NaN
187603,0.025,0.3,0.34,NaN,NaN,NaN,NaN,NaN,NaN,0.003610483,NaN,NaN,NaN,NaN
187604,0.025,0.3,0.3333,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN
187605,0.0251,0.3,0.3267,NaN,NaN,NaN,NaN,NaN,NaN,0.00336046,NaN,NaN,NaN,NaN
187606,0.025,0.3,0.32,NaN,NaN,NaN,NaN,NaN,NaN,0.003139799,NaN,NaN,NaN,NaN
187607,0.025,0.3,0.3133,NaN,NaN,NaN,NaN,NaN,NaN,0.00244808,NaN,NaN,NaN,NaN
187608,0.0251,0.3,0.3067,NaN,NaN,NaN,NaN,NaN,NaN,0.002293481,NaN,NaN,NaN,NaN
187609,0.025,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,0.003139799,NaN,NaN,NaN,NaN
187610,0.025,0.3,0.2933,NaN,NaN,NaN,NaN,NaN,NaN,0.003816338,NaN,NaN,NaN,NaN
187611,0.0251,0.3,0.2867,NaN,NaN,NaN,NaN,NaN,NaN,0.003647246,NaN,NaN,NaN,NaN
187612,0.025,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,0.003970701,NaN,NaN,NaN,NaN
187701,0.0158,0.2908,0.2817,NaN,NaN,NaN,NaN,NaN,NaN,0.00372812,NaN,NaN,NaN,NaN
187702,0.016,0.2817,0.2833,NaN,NaN,NaN,NaN,NaN,NaN,0.002955878,NaN,NaN,NaN,NaN
187703,0.0158,0.2725,0.285,NaN,NaN,NaN,NaN,NaN,NaN,0.002911732,NaN,NaN,NaN,NaN
187704,0.0158,0.2633,0.2867,NaN,NaN,NaN,NaN,NaN,NaN,0.002867583,NaN,NaN,NaN,NaN
187705,0.016,0.2542,0.2883,NaN,NaN,NaN,NaN,NaN,NaN,0.002587934,NaN,NaN,NaN,NaN
187706,0.0158,0.245,0.29,NaN,NaN,NaN,NaN,NaN,NaN,0.002632094,NaN,NaN,NaN,NaN
187707,0.0158,0.2358,0.2917,NaN,NaN,NaN,NaN,NaN,NaN,0.002690972,NaN,NaN,NaN,NaN
187708,0.016,0.2267,0.2933,NaN,NaN,NaN,NaN,NaN,NaN,0.003794284,NaN,NaN,NaN,NaN
187709,0.0158,0.2175,0.295,NaN,NaN,NaN,NaN,NaN,NaN,0.004338137,NaN,NaN,NaN,NaN
187710,0.0158,0.2083,0.2967,NaN,NaN,NaN,NaN,NaN,NaN,0.004977153,NaN,NaN,NaN,NaN
187711,0.016,0.1992,0.2983,NaN,NaN,NaN,NaN,NaN,NaN,0.004198527,NaN,NaN,NaN,NaN
187712,0.0158,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,0.003779581,NaN,NaN,NaN,NaN
187801,0.015,0.1892,0.3008,NaN,NaN,NaN,NaN,NaN,NaN,0.003948651,NaN,NaN,NaN,NaN
187802,0.0151,0.1883,0.3017,NaN,NaN,NaN,NaN,NaN,NaN,0.00355166,NaN,NaN,NaN,NaN
187803,0.015,0.1875,0.3025,NaN,NaN,NaN,NaN,NaN,NaN,0.00341194,NaN,NaN,NaN,NaN
187804,0.015,0.1867,0.3033,NaN,NaN,NaN,NaN,NaN,NaN,0.003588425,NaN,NaN,NaN,NaN
187805,0.0151,0.1858,0.3042,NaN,NaN,NaN,NaN,NaN,NaN,0.00297795,NaN,NaN,NaN,NaN
187806,0.015,0.185,0.305,NaN,NaN,NaN,NaN,NaN,NaN,0.00244808,NaN,NaN,NaN,NaN
187807,0.015,0.1842,0.3058,NaN,NaN,NaN,NaN,NaN,NaN,0.002293481,NaN,NaN,NaN,NaN
187808,0.0151,0.1833,0.3067,NaN,NaN,NaN,NaN,NaN,NaN,0.00244808,NaN,NaN,NaN,NaN
187809,0.015,0.1825,0.3075,NaN,NaN,NaN,NaN,NaN,NaN,0.003044164,NaN,NaN,NaN,NaN
