yyyymm,INDEX
187101,4.44
187102,4.5
187103,4.61
187104,4.74
187105,4.86
187106,4.82
187107,4.73
187108,4.79
187109,4.84
187110,4.59
187111,4.64
187112,4.74
187201,4.86
187202,4.88
187203,5.04
187204,5.18
187205,5.18
187206,5.13
187207,5.1
187208,5.04
187209,4.95
187210,4.97
187211,4.95
187212,5.07
187301,5.11
187302,5.15
187303,5.11
187304,5.04
187305,5.05
187306,4.98
187307,4.97
187308,4.97
187309,4.59
187310,4.19
187311,4.04
187312,4.42
187401,4.66
187402,4.8
187403,4.73
187404,4.6
187405,4.48
187406,4.46
187407,4.46
187408,4.47
187409,4.54
187410,4.53
187411,4.57
187412,4.54
187501,4.54
187502,4.53
187503,4.59
187504,4.65
187505,4.47
187506,4.38
187507,4.39
187508,4.41
187509,4.37
187510,4.3
187511,4.37
187512,4.37
187601,4.46
187602,4.52
187603,4.51
187604,4.34
187605,4.18
187606,4.15
187607,4.1
187608,3.93
187609,3.69
187610,3.67
187611,3.6
187612,3.58
187701,3.55
187702,3.34
187703,3.17
187704,2.94
187705,2.94
187706,2.73
187707,2.85
187708,3.05
187709,3.24
187710,3.31
187711,3.26
187712,3.25
187801,3.25
187802,3.18
187803,3.24
187804,3.33
187805,3.34
187806,3.41
187807,3.48
187808,3.45
187809,3.52
187810,3.48
187811,3.47
187812,3.45
187901,3.58
187902,3.71
187903,3.65
187904,3.77
187905,3.94
187906,3.96
187907,4.04
187908,4.07
187909,4.22
187910,4.68
187911,4.93
187912,4.92
188001,5.11
188002,5.2
188003,5.3
188004,5.18
188005,4.77
188006,4.79
188007,5.01
188008,5.19
188009,5.18
188010,5.33
188011,5.61
188012,5.84
188101,6.19
188102,6.17
188103,6.24
188104,6.22
188105,6.5
188106,6.58
188107,6.35
188108,6.2
188109,6.25
188110,6.15
188111,6.19
188112,6.01
188201,5.92
188202,5.79
188203,5.78
188204,5.78
188205,5.71
188206,5.68
188207,6
188208,6.18
188209,6.24
188210,6.07
188211,5.81
188212,5.84
188301,5.81
188302,5.68
188303,5.75
188304,5.87
188305,5.77
188306,5.82
188307,5.73
188308,5.47
188309,5.53
188310,5.38
188311,5.46
188312,5.34
188401,5.18
188402,5.32
188403,5.3
188404,5.06
188405,4.65
188406,4.46
188407,4.46
188408,4.74
188409,4.59
188410,4.44
188411,4.35
188412,4.34
188501,4.24
188502,4.37
188503,4.38
188504,4.37
188505,4.32
188506,4.3
188507,4.46
188508,4.71
188509,4.65
188510,4.92
188511,5.24
188512,5.2
188601,5.2
188602,5.3
188603,5.19
188604,5.12
188605,5.02
188606,5.25
188607,5.33
188608,5.37
188609,5.51
188610,5.65
188611,5.79
188612,5.64
188701,5.58
188702,5.54
188703,5.67
188704,5.8
188705,5.9
188706,5.73
188707,5.59
188708,5.45
188709,5.38
188710,5.2
188711,5.3
188712,5.27
188801,5.31
188802,5.28
188803,5.08
188804,5.1
188805,5.17
188806,5.01
188807,5.14
188808,5.25
188809,5.38
188810,5.35
188811,5.24
188812,5.14
188901,5.24
188902,5.3
188903,5.19
188904,5.18
188905,5.32
188906,5.41
188907,5.3
188908,5.37
188909,5.5
188910,5.4
188911,5.35
188912,5.32
189001,5.38
189002,5.32
189003,5.28
189004,5.39
189005,5.62
189006,5.58
189007,5.54
189008,5.41
189009,5.32
189010,5.08
189011,4.71
189012,4.6
189101,4.84
189102,4.9
189103,4.81
189104,4.97
189105,4.95
189106,4.85
189107,4.77
189108,4.93
189109,5.33
189110,5.33
189111,5.25
189112,5.41
189201,5.51
189202,5.52
189203,5.58
189204,5.57
189205,5.57
189206,5.54
189207,5.54
189208,5.62
189209,5.48
189210,5.59
189211,5.57
189212,5.51
189301,5.61
189302,5.51
189303,5.31
189304,5.31
189305,4.84
189306,4.61
189307,4.18
189308,4.08
189309,4.37
189310,4.5
189311,4.57
189312,4.41
189401,4.32
189402,4.38
189403,4.51
189404,4.57
189405,4.4
189406,4.34
189407,4.25
189408,4.41
189409,4.48
189410,4.34
189411,4.34
189412,4.3
189501,4.25
189502,4.19
189503,4.19
189504,4.37
189505,4.61
189506,4.7
189507,4.72
189508,4.79
189509,4.82
189510,4.75
189511,4.59
189512,4.32
189601,4.27
189602,4.45
189603,4.38
189604,4.42
189605,4.4
189606,4.32
189607,4.04
189608,3.81
189609,4.01
189610,4.1
189611,4.38
189612,4.22
189701,4.22
189702,4.18
189703,4.19
189704,4.06
189705,4.08
189706,4.27
189707,4.46
189708,4.75
189709,4.98
189710,4.82
189711,4.65
189712,4.75
189801,4.88
189802,4.87
189803,4.65
189804,4.57
189805,4.87
189806,5.06
189807,5.08
189808,5.27
189809,5.26
189810,5.15
189811,5.32
189812,5.65
189901,6.08
189902,6.31
189903,6.4
189904,6.48
189905,6.21
189906,6.07
189907,6.28
189908,6.44
189909,6.37
189910,6.34
189911,6.46
189912,6.02
190001,6.1
190002,6.21
190003,6.26
190004,6.34
190005,6.04
190006,5.86
190007,5.86
190008,5.94
190009,5.8
190010,6.01
190011,6.48
190012,6.87
190101,7.07
190102,7.25
190103,7.51
190104,8.14
190105,7.73
190106,8.5
190107,7.93
190108,8.04
190109,8
190110,7.91
190111,8.08
190112,7.95
190201,8.12
190202,8.19
190203,8.2
190204,8.48
190205,8.46
190206,8.41
190207,8.6
190208,8.83
190209,8.85
190210,8.57
190211,8.24
190212,8.05
190301,8.46
190302,8.41
190303,8.08
190304,7.75
190305,7.6
190306,7.18
190307,6.85
190308,6.63
190309,6.47
190310,6.26
190311,6.28
190312,6.57
190401,6.68
190402,6.5
190403,6.48
190404,6.64
190405,6.5
190406,6.51
190407,6.78
190408,7.01
190409,7.32
190410,7.75
190411,8.17
190412,8.25
190501,8.43
190502,8.8
190503,9.05
190504,8.94
190505,8.5
190506,8.6
190507,8.87
190508,9.2
190509,9.23
190510,9.36
190511,9.31
190512,9.54
190601,9.87
190602,9.8
190603,9.56
190604,9.43
190605,9.18
190606,9.3
190607,9.06
190608,9.73
190609,10.03
190610,9.73
190611,9.93
190612,9.84
190701,9.56
190702,9.26
190703,8.35
190704,8.39
190705,8.1
190706,7.84
190707,8.14
190708,7.53
190709,7.45
190710,6.64
190711,6.25
190712,6.57
190801,6.85
190802,6.6
190803,6.87
190804,7.24
190805,7.63
190806,7.64
190807,7.92
190808,8.26
190809,8.17
190810,8.27
190811,8.83
190812,9.03
190901,9.06
190902,8.8
190903,8.92
190904,9.32
190905,9.63
190906,9.8
190907,9.94
190908,10.18
190909,10.19
190910,10.23
190911,10.18
190912,10.3
191001,10.08
191002,9.72
191003,9.96
191004,9.72
191005,9.56
191006,9.1
191007,8.64
191008,8.85
191009,8.91
191010,9.32
191011,9.31
191012,9.05
191101,9.27
191102,9.43
191103,9.32
191104,9.28
191105,9.48
191106,9.67
191107,9.63
191108,9.17
191109,8.67
191110,8.72
191111,9.07
191112,9.11
191201,9.12
191202,9.04
191203,9.3
191204,9.59
191205,9.58
191206,9.58
191207,9.59
191208,9.81
191209,9.86
191210,9.84
191211,9.73
191212,9.38
191301,9.3
191302,8.97
191303,8.8
191304,8.79
191305,8.55
191306,8.12
191307,8.23
191308,8.45
191309,8.53
191310,8.26
191311,8.05
191312,8.04
191401,8.37
191402,8.48
191403,8.32
191404,8.12
191405,8.17
